date,Open,High,Low,Close,volume
2020-07-06 12:00:00,1.1306,1.1313,1.1303,1.1306,0.0
2020-07-06 13:00:00,1.1305,1.1319,1.1304,1.1316,0.0
2020-07-06 14:00:00,1.1316,1.1318,1.1309,1.1315,0.0
2020-07-06 15:00:00,1.1313,1.1316,1.1304,1.1308,0.0
2020-07-06 16:00:00,1.1309,1.1313,1.1304,1.1308,0.0
2020-07-06 17:00:00,1.1309,1.1311,1.1303,1.1309,0.0
2020-07-06 18:00:00,1.131,1.1312,1.1306,1.131,0.0
2020-07-06 19:00:00,1.1311,1.1314,1.1308,1.1312,0.0
2020-07-06 20:00:00,1.1312,1.1333,1.1308,1.1326,0.0
2020-07-06 21:00:00,1.1326,1.1328,1.1311,1.1312,0.0
2020-07-06 22:00:00,1.1313,1.1318,1.1305,1.1307,0.0
2020-07-06 23:00:00,1.1307,1.1313,1.1305,1.1309,0.0
2020-07-07 00:00:00,1.131,1.1314,1.1305,1.1312,0.0
2020-07-07 01:00:00,1.1312,1.1316,1.1301,1.1308,0.0
2020-07-07 02:00:00,1.1308,1.1309,1.129,1.1294,0.0
2020-07-07 03:00:00,1.1293,1.1296,1.128,1.1285,0.0
2020-07-07 04:00:00,1.1285,1.129,1.1262,1.1264,0.0
2020-07-07 05:00:00,1.1263,1.1275,1.1257,1.1274,0.0
2020-07-07 06:00:00,1.1272,1.1282,1.1269,1.1278,0.0
2020-07-07 07:00:00,1.1278,1.1294,1.1273,1.129,0.0
2020-07-07 08:00:00,1.129,1.1301,1.1285,1.1297,0.0
2020-07-07 09:00:00,1.1298,1.1307,1.1283,1.1285,0.0
2020-07-07 10:00:00,1.1285,1.1293,1.127,1.1284,0.0
2020-07-07 11:00:00,1.1284,1.1304,1.1281,1.1298,0.0
2020-07-07 12:00:00,1.1297,1.13,1.1284,1.129,0.0
2020-07-07 13:00:00,1.129,1.1296,1.1284,1.1296,0.0
2020-07-07 14:00:00,1.1296,1.1298,1.1281,1.1285,0.0
2020-07-07 15:00:00,1.1285,1.1287,1.127,1.1272,0.0
2020-07-07 16:00:00,1.1272,1.1275,1.1267,1.1273,0.0
2020-07-07 17:00:00,1.1273,1.1277,1.1269,1.1273,0.0
2020-07-07 18:00:00,1.1272,1.1276,1.1271,1.1273,0.0
2020-07-07 19:00:00,1.1274,1.1278,1.127,1.1275,0.0
2020-07-07 20:00:00,1.1274,1.1283,1.1263,1.1268,0.0
2020-07-07 21:00:00,1.1269,1.1279,1.1266,1.1271,0.0
2020-07-07 22:00:00,1.1271,1.128,1.1269,1.1278,0.0
2020-07-07 23:00:00,1.1278,1.1281,1.1274,1.1277,0.0
2020-07-08 00:00:00,1.1278,1.1279,1.1272,1.1276,0.0
2020-07-08 01:00:00,1.1276,1.1283,1.1271,1.1275,0.0
2020-07-08 02:00:00,1.1276,1.1278,1.1261,1.1276,0.0
2020-07-08 03:00:00,1.1276,1.1294,1.1271,1.1288,0.0
2020-07-08 04:00:00,1.1288,1.1294,1.1276,1.1278,0.0
2020-07-08 05:00:00,1.1279,1.1283,1.1264,1.1275,0.0
2020-07-08 06:00:00,1.1275,1.1284,1.1266,1.1281,0.0
2020-07-08 07:00:00,1.1282,1.1295,1.1274,1.1289,0.0
2020-07-08 08:00:00,1.1289,1.1292,1.1276,1.1288,0.0
2020-07-08 09:00:00,1.1288,1.1334,1.1286,1.1329,0.0
2020-07-08 10:00:00,1.1329,1.1343,1.1323,1.1328,0.0
2020-07-08 11:00:00,1.1328,1.133,1.1313,1.1327,0.0
2020-07-08 12:00:00,1.1327,1.1352,1.1325,1.1336,0.0
2020-07-08 13:00:00,1.1336,1.1342,1.1328,1.1334,0.0
2020-07-08 14:00:00,1.1334,1.1338,1.1331,1.1336,0.0
2020-07-08 15:00:00,1.1336,1.1337,1.1326,1.1332,0.0
2020-07-08 16:00:00,1.1332,1.1334,1.1327,1.1329,0.0
2020-07-08 17:00:00,1.133,1.1336,1.1325,1.1332,0.0
2020-07-08 18:00:00,1.1331,1.1334,1.1328,1.133,0.0
2020-07-08 19:00:00,1.1333,1.1339,1.133,1.1337,0.0
2020-07-08 20:00:00,1.1337,1.1347,1.1331,1.1334,0.0
2020-07-08 21:00:00,1.1334,1.1339,1.1326,1.1338,0.0
2020-07-08 22:00:00,1.1338,1.1347,1.1334,1.1347,0.0
2020-07-08 23:00:00,1.1347,1.1364,1.1342,1.1362,0.0
2020-07-09 00:00:00,1.1362,1.1371,1.136,1.1364,0.0
2020-07-09 01:00:00,1.1365,1.1368,1.1357,1.1364,0.0
2020-07-09 02:00:00,1.1364,1.1367,1.1352,1.1355,0.0
2020-07-09 03:00:00,1.1355,1.1362,1.1323,1.1336,0.0
2020-07-09 04:00:00,1.1336,1.1345,1.1326,1.1329,0.0
2020-07-09 05:00:00,1.1329,1.1334,1.1318,1.1331,0.0
2020-07-09 06:00:00,1.1331,1.1333,1.1315,1.1322,0.0
2020-07-09 07:00:00,1.1322,1.1345,1.1319,1.1342,0.0
2020-07-09 08:00:00,1.1342,1.1349,1.1331,1.1344,0.0
2020-07-09 09:00:00,1.1343,1.1348,1.1320000000000001,1.1326,0.0
2020-07-09 09:00:00,1.1343,1.1348,1.132,1.1326,0.0
2020-07-09 10:00:00,1.1326,1.1338,1.1288,1.1295,0.0
2020-07-09 11:00:00,1.1295,1.1304,1.1284,1.1298,0.0
2020-07-09 12:00:00,1.1297,1.1304,1.1287,1.129,0.0
2020-07-09 13:00:00,1.129,1.1295,1.1286,1.1292,0.0
2020-07-09 14:00:00,1.1292,1.1297,1.1288,1.1296,0.0
2020-07-09 15:00:00,1.1297,1.1297,1.1283,1.1284,0.0
2020-07-09 16:00:00,1.1285,1.1287,1.1279,1.1284,0.0
2020-07-09 17:00:00,1.1284,1.1285,1.128,1.1282,0.0
2020-07-09 18:00:00,1.1283,1.1288,1.1283,1.1287,0.0
2020-07-09 19:00:00,1.1287,1.129,1.1283,1.1288,0.0
2020-07-09 20:00:00,1.1288,1.1289,1.1269,1.1275,0.0
2020-07-09 21:00:00,1.1274,1.1278,1.1269,1.1278,0.0
2020-07-09 22:00:00,1.1278,1.1278,1.1268,1.1273,0.0
2020-07-09 23:00:00,1.1273,1.1275,1.1269,1.1274,0.0
2020-07-10 00:00:00,1.1274,1.1275,1.1266,1.127,0.0
2020-07-10 01:00:00,1.1271,1.1274,1.1261,1.1269,0.0
2020-07-10 02:00:00,1.1269,1.1273,1.1256,1.1265,0.0
2020-07-10 03:00:00,1.1265,1.1281,1.1253,1.1279,0.0
2020-07-10 04:00:00,1.1279,1.1291,1.1276,1.1285,0.0
2020-07-10 05:00:00,1.1285,1.1295,1.1284,1.1291,0.0
2020-07-10 06:00:00,1.1291,1.1298,1.1289,1.1294,0.0
2020-07-10 07:00:00,1.1294,1.1301,1.1283,1.1286,0.0
2020-07-10 08:00:00,1.1286,1.1294,1.1272,1.1293,0.0
2020-07-10 09:00:00,1.1292,1.1315,1.1292,1.1307,0.0
2020-07-10 10:00:00,1.1306,1.1325,1.13,1.132,0.0
2020-07-10 10:00:00,1.1306,1.1325,1.13,1.1320000000000001,0.0
2020-07-10 11:00:00,1.1319,1.1320000000000001,1.1308,1.1315,0.0
2020-07-10 11:00:00,1.1319,1.132,1.1308,1.1315,0.0
2020-07-10 12:00:00,1.1317,1.1317,1.1295,1.13,0.0
2020-07-10 13:00:00,1.1299,1.1306,1.1293,1.1306,0.0
2020-07-10 14:00:00,1.1305,1.1306,1.1296,1.1298,0.0
2020-07-10 15:00:00,1.1297,1.1303,1.1294,1.1299,0.0
2020-07-10 16:00:00,1.13,1.1304,1.1294,1.13,0.0
2020-07-10 17:00:00,1.1296,1.1296,1.1296,1.1296,0.0
2020-07-12 17:00:00,1.1304,1.1306,1.1301,1.1303,0.0
2020-07-12 18:00:00,1.1304,1.1316,1.1302,1.1314,0.0
2020-07-12 19:00:00,1.1316,1.1317,1.1307,1.1308,0.0
